Province,Centre,Zone,Neighbourhood,Dwelling Type ,Bachelor ,,1 Bedroom,,2 Bedroom,,3 Bedroom +,,Total ,
N.S./N.-É.,Halifax,Dartmouth South ~ Sud de Dartmouth,Total,Total,$589,b,$940,c,"$1,154",a,"$1,006",a,"$1,061",a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris","Apt &
Other /
App. &
autres",**,',"$1,075",b,"$1,497",a,**,',"$1,401",b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,"Portland Estates/Morris Lake ~ Portland
Estates/Lac Morris",Total,**,',"$1,075",b,"$1,497",a,**,',"$1,401",b
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Row / En
bande",--,',**,',**,',**,',"$1,095",a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,"Apt &
Other /
App. &
autres",**,',$701,b,$829,a,$893,a,$800,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Woodlawn/Forest Hills/Port Wallace,Total,**,',$702,b,$830,a,$938,a,$806,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Row / En
bande",--,,--,,--,,--,,--,
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,"Apt &
Other /
App. &
autres",**,',**,',$876,a,**,',$862,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Cole Harbour,Total,**,',**,',$876,a,**,',$862,a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Row / En
bande",--,',**,',**,',**,',"$1,095",a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,"Apt &
Other /
App. &
autres",$760,a,$830,b,"$1,072",a,$958,b,"$1,015",a
N.S./N.-É.,Halifax,Dartmouth East ~ Est de Dartmouth,Total,Total,$760,a,$830,b,"$1,072",a,$985,b,"$1,016",a
N.S./N.-É.,Halifax,Bedford,Bedford,"Row / En
bande",--,',--,',**,',**,',**,'
N.S./N.-É.,Halifax,Bedford,Bedford,"Apt &
Other /
App. &
autres",$656,d,$863,a,"$1,327",a,"$1,477",a,"$1,286",a
N.S./N.-É.,Halifax,Bedford,Bedford,Total,$656,d,$863,a,"$1,327",a,"$1,477",a,"$1,286",a
N.S./N.-É.,Halifax,Bedford,Total,"Row / En
bande",--,',--,',**,',**,',**,'
N.S./N.-É.,Halifax,Bedford,Total,"Apt &
Other /
App. &
autres",$656,d,$863,a,"$1,327",a,"$1,477",a,"$1,286",a
N.S./N.-É.,Halifax,Bedford,Total,Total,$656,d,$863,a,"$1,327",a,"$1,477",a,"$1,286",a
N.S./N.-É.,Halifax,Sackville,Sackville,"Row / En
bande",--,',--,',**,',"$1,382",a,"$1,381",a
